"Page / route","Chip","Prompt","Actual Response","Expected Response"
"/app (Home - Plan 100%)","What should I do next?","Given my current plan and financial position what is the single highest impact action I should take right now","","One clear action only, tied to biggest gap or opportunity, quantified if possible. E.g. Increase savings by $250 or redirect X to capture employer match"
"/app (Home - Plan 100%)","Am I on track?","Based on my current behavior and plan am I on track to hit my targets","","Yes / No / Slightly off. One reason why. E.g. You're slightly behind due to lower savings rate last month"
"/app (Home - Plan 100%)","What matters most right now?","Out of everything in my financial plan what is the most important thing I should focus on right now","","Prioritization, filters noise. E.g. Stabilizing your savings rate matters more than investing right now"
"/app (Home - Plan 100%)","Can I optimize this further?","If I wanted to improve my trajectory what is the most efficient change I could make","","One optimization lever. E.g. Increasing savings by 3% moves your timeline forward by ~2 years"
"/app (Monthly Pulse)","What changed this month?","What are the biggest changes between my target and actuals this month","","1–2 key deltas. E.g. Spending is up $180 mainly from dining"
"/app (Monthly Pulse)","Where am I off track?","Where am I deviating the most from my plan and how significant is it","","Largest gap, quantified. E.g. Savings is 6% below target or $220 short"
"/app (Monthly Pulse)","What should I adjust?","What is the single most effective adjustment I can make based on this month","","One behavior change. E.g. Reduce dining by $75 to get back on track"
"/app (Monthly Pulse)","Is this a one-off or a pattern?","Is this behavior consistent with my past months or a one time change","","Pattern vs anomaly. E.g. This is the third month of elevated spending"
"/app (Net Worth)","What's driving this change?","What are the main factors driving the change in my net worth over this period","","Income vs savings vs market. E.g. Growth driven mostly by increased savings not market returns"
"/app (Net Worth)","Am I moving fast enough?","Based on my current trajectory am I progressing at a strong pace toward my goals","","Directional judgment. E.g. Progress is steady but could accelerate with higher savings"
"/app (Net Worth)","What would accelerate this?","What is the most effective way to increase my net worth growth rate","","Single lever. E.g. savings / debt / income"
"/app (Net Worth)","What's holding me back?","What is the biggest constraint slowing my net worth growth","","Bottleneck. E.g. High discretionary spending limiting savings rate"
"/app (Net Worth)","Is this sustainable?","Is my current net worth growth trend sustainable based on my behavior","","Stability vs volatility, grounded answer"
